contest_id,problem_index,name,tags,rating
2092,F,Andryusha and CCB,"['brute force', 'constructive algorithms', 'greedy', 'math', 'number theory', 'strings']",Unknown
2092,E,She knows...,"['combinatorics', 'constructive algorithms', 'dp', 'graphs', 'math']",Unknown
2092,D,Mishkin Energizer,"['brute force', 'constructive algorithms', 'data structures', 'greedy', 'implementation', 'strings']",Unknown
2092,C,Asuna and the Mosquitoes,"['constructive algorithms', 'greedy', 'math']",Unknown
2092,B,Lady Bug,"['brute force', 'constructive algorithms', 'implementation', 'math']",Unknown
2092,A,Kamilka and the Sheep,"['greedy', 'math', 'number theory', 'sortings']",Unknown
2091,G,Gleb and Boating,"['brute force', 'constructive algorithms', 'data structures', 'dp', 'graphs', 'greedy', 'math', 'number theory', 'shortest paths']",Unknown
2091,F,Igor and Mountain,"['binary search', 'brute force', 'dp']",Unknown
2091,E,Interesting Ratio,"['brute force', 'math', 'number theory', 'two pointers']",Unknown
2091,D,Place of the Olympiad,"['binary search', 'greedy', 'math']",Unknown
2091,C,Combination Lock,"['constructive algorithms', 'greedy']",Unknown
2091,B,Team Training,"['dp', 'greedy', 'sortings']",Unknown
2091,A,Olympiad Date,"['greedy', 'strings']",Unknown
2090,C,Dining Hall,"['data structures', 'greedy', 'implementation', 'sortings']",Unknown
2090,B,Pushing Balls,"['brute force', 'dp', 'implementation']",Unknown
2090,A,Treasure Hunt,"['implementation', 'math']",Unknown
2089,E,Black Cat Collapse,[],3500
2089,D,Conditional Operators,['constructive algorithms'],3200
2089,C2,Key of Like (Hard Version),"['dp', 'math', 'probabilities']",3100
2089,C1,Key of Like (Easy Version),"['dp', 'games', 'math', 'probabilities']",2200
2089,B2,Canteen (Hard Version),"['binary search', 'data structures', 'dp', 'flows', 'greedy', 'two pointers']",2300
2089,B1,Canteen (Easy Version),"['binary search', 'data structures', 'flows', 'greedy', 'two pointers']",1900
2089,A,Simple Permutation,"['constructive algorithms', 'number theory']",1700
2085,F2,Serval and Colorful Array (Hard Version),"['data structures', 'greedy']",2900
2085,F1,Serval and Colorful Array (Easy Version),"['data structures', 'greedy']",2600
2085,E,Serval and Modulo,"['constructive algorithms', 'math', 'number theory']",2200
2085,D,Serval and Kaitenzushi Buffet,"['data structures', 'graph matchings', 'greedy']",2000
2085,C,Serval and The Formula,"['bitmasks', 'constructive algorithms', 'dp', 'greedy']",1600
2085,B,Serval and Final MEX,"['constructive algorithms', 'implementation']",1200
2085,A,Serval and String Theory,"['constructive algorithms', 'implementation']",900
2082,B,Floor or Ceil,"['brute force', 'greedy']",1600
2082,A,Binary Matrix,"['constructive algorithms', 'greedy']",800
2081,G2,Hard Formula (Hard Version),['math'],3400
2081,G1,Hard Formula,"['math', 'number theory']",3100
2081,F,Hot Matrix,"['constructive algorithms', 'math']",3300
2081,E,Quantifier,"['combinatorics', 'dp', 'implementation']",3300
2081,D,MST in Modulo Graph,"['constructive algorithms', 'dsu', 'graphs', 'greedy', 'math', 'number theory', 'sortings', 'trees']",2600
2081,C,Quaternary Matrix,"['bitmasks', 'constructive algorithms', 'greedy', 'implementation', 'matrices']",2700
2081,B,Balancing,['greedy'],2500
2081,A,Math Division,"['bitmasks', 'dp', 'math', 'probabilities']",1800
2080,D,Order Statistics,"['*special', 'binary search']",3400
2080,C,Card Flip,['*special'],2300
2080,B,Best Runner,['*special'],1700
2080,A,Strong Connectivity Strikes Back,"['*special', 'constructive algorithms', 'graphs']",3200
2079,D,Cute Subsequences,"['*special', 'sortings']",1800
2079,C,Dreaming Is Not Harmful,['*special'],2300
2079,B,Arithmetic Exercise,"['*special', 'data structures', 'dp', 'greedy']",2600
2079,A,"Alice, Bob, And Two Arrays","['*special', 'data structures', 'dp', 'games']",3300
2078,D,Scammy Game Ad,"['dp', 'greedy', 'implementation']",1800
2078,B,Vicious Labyrinth,"['constructive algorithms', 'graphs', 'greedy', 'implementation', 'math']",1100
2078,A,Final Verdict,['math'],800
2077,G,RGB Walking,"['bitmasks', 'chinese remainder theorem', 'dfs and similar', 'graphs', 'number theory']",3500
2077,F,AND x OR,"['bitmasks', 'constructive algorithms', 'dp']",3300
2077,E,Another Folding Strip,"['combinatorics', 'constructive algorithms', 'data structures', 'divide and conquer', 'dp', 'greedy', 'math']",2700
2077,D,Maximum Polygon,"['brute force', 'data structures', 'greedy', 'implementation', 'math']",3100
2077,C,Binary Subsequence Value Sum,"['combinatorics', 'data structures', 'dp', 'fft', 'math', 'matrices']",2300
2077,B,Finding OR Sum,"['bitmasks', 'constructive algorithms', 'implementation', 'interactive', 'math']",1900
2077,A,Breach of Faith,"['constructive algorithms', 'greedy', 'math', 'sortings']",1500
2075,F,Beautiful Sequence Returns,"['binary search', 'brute force', 'data structures', 'implementation']",3000
2075,E,XOR Matrix,"['bitmasks', 'combinatorics', 'dp', 'implementation', 'math']",2500
2075,D,Equalization,"['bitmasks', 'brute force', 'dp', 'graphs', 'math']",2000
2075,C,Two Colors,"['binary search', 'combinatorics', 'math']",1500
2075,B,Array Recoloring,"['constructive algorithms', 'greedy']",1300
2075,A,To Zero,"['greedy', 'math']",800
2074,G,Game With Triangles: Season 2,"['dp', 'geometry']",2100
2074,F,Counting Necessary Nodes,"['bitmasks', 'divide and conquer', 'greedy', 'implementation', 'math']",2000
2074,E,Empty Triangle,"['geometry', 'interactive', 'probabilities']",1600
2074,D,Counting Points,"['brute force', 'data structures', 'geometry', 'implementation', 'two pointers']",1400
2074,C,XOR and Triangle,"['bitmasks', 'brute force', 'geometry', 'greedy', 'probabilities']",1100
2074,B,The Third Side,"['geometry', 'greedy', 'math']",800
2074,A,Draw a Square,"['geometry', 'implementation']",800
2073,M,Can You Reach There?,[],3300
2073,L,Boarding Queue,[],1300
2073,K,Book Sorting,[],2900
2073,J,Gathering Sharks,[],2000
2073,I,Squares on Grid Lines,[],3100
2073,H,Secret Lilies and Roses,['interactive'],2700
2073,G,Corrupted File,[],2200
2073,F,Hold the Star,[],3500
2073,E,Minus Operator,['interactive'],3300
2073,D,Tower of Hanoi,[],2400
2073,C,Cactus Connectivity,[],2700
2073,B,Three-Dimensional Embedding,[],3500
2073,A,Control Towers,[],1900
2072,G,I've Been Flipping Numbers for 300 Years and Calculated the Sum,"['binary search', 'brute force', 'combinatorics', 'divide and conquer', 'math', 'number theory']",2200
